,IP_ES_25_N1,Z3_IB_4_N1,Z1_IB_10_N1,Z1_IB_5_N1,Z3_IB_8_N1,ECI_IB_4_N1,ECI_IB_5_N1,Gs(U)_IB_12_N1,Gs(U)_IB_68_N1,Gs(U)_IB_58_N1,Gs(U)_IB_60_N1,Z1_NO_sideL35_M,HP_NO_sideL35_CV,Z1_NO_sideR35_CV,Pb_NO_sideR35_S,IP_NO_sideL35_SI71,Z1_NO_PRT_CV,Z2_NO_AHR_CV,Gs(U)_NO_ALR_SI71,Z3_NO_UCR_S,Z3_NO_UCR_N1,ECI_NO_UCR_CV,Pa_NO_BSR_SI71,ISA_NO_NPR_S,Z3_NO_NPR_V,IP_NO_PLR_S,Pb_NO_PCR_V,ECI_NO_PCR_CV
count,18861.0,18861.0,18861.0,18861.0,18861.0,18861.0,18861.0,18861.0,18861.0,18861.0,18861.0,18861.0,18861.0,18861.0,18861.0,18861.0,18861.0,18861.0,18861.0,18861.0,18861.0,18861.0,18861.0,18861.0,18861.0,18861.0,18861.0,18861.0
mean,6.046266899952286,31.18457770001609,17.45318859021267,18.99089549864794,29.999460261916322,82.65003817400947,82.13730502094236,0.06167965643389769,0.06219871692909968,0.062295742537497825,0.06147659190921732,2.1125226658183647,-7915473001639.801,-14530022365898.76,0.819182439955466,0.546344308361189,-945359121040.641,4940222783577.474,0.4986702719898398,-7.461724722973362,4.865804570277246,-0.615792375801938,-10.069785801389324,-0.6666544721912956,1.1051810614495499,0.5477376597211188,-15.358365940299745,-14.821530141562185
std,3.940962838441701,44.50315072058878,47.87823184545125,52.548994473427676,40.99133707855955,113.36007014652532,112.89807700006986,0.03758467886063453,0.03764242603784044,0.037723525650361266,0.035796331585811796,49.45324253816223,4132531790617112.5,2313467988121527.0,0.5590288690371698,0.07319110217084746,92470300481912.22,184554874621614.8,0.0696284071387086,281.8927777488371,73.24748193845481,102.96678480227351,325.4569367721869,0.5602191614583268,0.4445591968041607,0.28489829685599777,391.78812911352156,391.8092202086143
min,-4.49,6.54,5.13,5.03,6.42,14.04,14.52,0.02,0.02,0.02,0.02,-2351.96,-1.839490778722848e+17,-2.72061258654274e+17,-5.83,0.04,-9992755792426168.0,-4115.58,0.0,-9999.0,-9999.0,-9999.0,-9999.0,-4.36,0.0,-2.36,-9999.0,-9999.0
25%,4.79,14.82,7.84,7.85,14.57,31.5,31.28,0.04,0.04,0.04,0.04,0.67,-7.42,-2.77,0.59,0.52,-3.27,-6.2,0.47,-0.72,0.54,0.39,0.48,-0.99,0.79,0.37,0.01,0.54
50%,5.69,20.24,9.22,9.27,19.81,45.07,44.47,0.05,0.05,0.05,0.05,1.01,-3.66,3.73,0.8,0.55,4.32,-2.25,0.51,1.07,4.39,0.44,0.53,-0.72,1.09,0.56,0.02,0.6
75%,6.47,29.19,11.41,11.44,28.67,77.91,77.51,0.07,0.07,0.07,0.07,1.74,-1.53,8.04,1.04,0.59,9.57,5.07,0.54,1.41,8.83,0.49,0.58,-0.43,1.4,0.73,0.02,0.63
max,18.69,1275.3,333.33,333.33,340.08,2333.33,2333.33,0.84,0.84,0.84,0.84,4607.05,2.8022526460521616e+17,1.2119936026423555e+17,5.36,0.7,21801.15,9202279384182666.0,0.87,4.14,58.39,1.06,1.0,5.45,3.1,2.67,0.05,0.74
