,IP_ES_25_N1,Z3_IB_4_N1,Z1_IB_10_N1,Z1_IB_5_N1,Z3_IB_8_N1,ECI_IB_4_N1,ECI_IB_5_N1,Gs(U)_IB_12_N1,Gs(U)_IB_68_N1,Gs(U)_IB_58_N1,Gs(U)_IB_60_N1,Z1_NO_sideL35_M,HP_NO_sideL35_CV,Z1_NO_sideR35_CV,Pb_NO_sideR35_S,IP_NO_sideL35_SI71,Z1_NO_PRT_CV,Z2_NO_AHR_CV,Gs(U)_NO_ALR_SI71,Z3_NO_UCR_S,Z3_NO_UCR_N1,ECI_NO_UCR_CV,Pa_NO_BSR_SI71,ISA_NO_NPR_S,Z3_NO_NPR_V,IP_NO_PLR_S,Pb_NO_PCR_V,ECI_NO_PCR_CV
count,18008.0,18008.0,18008.0,18008.0,18008.0,18008.0,18008.0,18008.0,18008.0,18008.0,18008.0,18008.0,18008.0,18008.0,18008.0,18008.0,18008.0,18008.0,18008.0,18008.0,18008.0,18008.0,18008.0,18008.0,18008.0,18008.0,18008.0,18008.0
mean,6.044023767214566,30.837589960017866,17.39173367392278,18.941969124833303,29.958080852954417,75.3550122167927,74.89052698800549,0.061657041314958735,0.06213571745889506,0.062172923145256506,0.06140992892046762,1.8631380497556758,-3.0612172367836297,2.8020035539760157,0.8222378942692168,0.5469557974233888,2.9772034651266237,-0.8328820524211455,0.4992164593514191,0.4853031985784091,5.390754109284733,0.44442358951576016,0.5341292758773954,-0.6667075744113734,1.1061761439360234,0.5475333185251021,0.015756330519768606,0.5534567969791327
std,3.9412634743287933,42.912407976466035,47.6569363753891,52.37049576589864,40.93064204593622,88.77370420296873,88.19919951455041,0.0375824034089241,0.03729575749766377,0.037271339486479135,0.03579969783869508,11.176212282049926,38.06383763741037,44.061489600362385,0.5591281329483418,0.0728470886806551,48.03066082694255,37.9644742209385,0.06959156372133761,1.2188928274477135,7.659140916730765,0.08488318141807459,0.09181930671770315,0.5598466900199149,0.4449869283789383,0.2843668775017491,0.005639523958965249,0.1374399841028493
min,-4.49,6.54,5.13,5.03,6.42,14.04,14.52,0.02,0.02,0.02,0.02,-291.34,-480.25,-494.33,-5.83,0.04,-499.83,-494.7,0.0,-4.37,-21.81,0.0,0.0,-4.36,0.0,-2.36,0.0,0.0
25%,4.78,14.75,7.85,7.86,14.57,31.3,31.1,0.04,0.04,0.04,0.04,0.67,-7.36,-2.22,0.59,0.52,-2.165,-6.14,0.47,-0.72,0.55,0.39,0.48,-0.99,0.79,0.37,0.01,0.54
50%,5.68,20.04,9.23,9.285,19.79,44.575,43.894999999999996,0.05,0.05,0.05,0.05,1.01,-3.67,3.72,0.805,0.56,4.325,-2.21,0.51,1.07,4.38,0.43,0.53,-0.72,1.1,0.56,0.02,0.6
75%,6.47,28.91,11.42,11.45,28.7,75.27,74.9,0.07,0.07,0.07,0.07,1.74,-1.61,7.91,1.04,0.59,9.42,5.1,0.54,1.41,8.82,0.49,0.58,-0.43,1.4,0.73,0.02,0.63
max,18.69,421.77,333.33,333.33,340.08,499.11,495.93,0.84,0.84,0.84,0.84,467.91,499.14,496.78,5.36,0.7,498.97,493.99,0.87,4.14,58.39,1.06,1.0,5.45,3.1,2.67,0.05,0.74
